DocIndex	Position	Left	Middle	Right
21	7017	الألفاظ لم تكن. فاضطرت صناعة	المنطق	إلى أن يصير بعض أجزائها
21	7038	في قول من يقول إن	المنطق	موضوعُه النظر في الألفاظ، من
21	7072	أن “الخصائص التي تشكّل موضوع	المنطق	لا يمكن تصورها دون ممارسةِ
21	7096	مذهب ابن سينا في موضوع	المنطق	من أغلب المناطقة الذي تبعوه
21	7122	القرن الثالث عشر أن موضوعَ	المنطق	هو التصورات والتصديقات، وهو ادعاءٌ
21	7380	البرهان. جميع الأطروحات السينوية في	المنطق	تنتظم وفق هذا المذهب: يتناول
21	7454	الهندسة. وإذا كان موضوع علم	المنطق	المعقولات الثانية؛ فعندئذ تكون المهمة
21	7462	فعندئذ تكون المهمة المناسبة لعلم	المنطق	هي تحديد الخصائص الذاتية للمعقولات
21	7492	لذلك يجب أن يكون موضوعُ	المنطق	شيئًا أعمَّ من المعقولات الثانية
21	7509	أن التصورات والتصديقات هي موضوع	المنطق	. وقد قَبِل الكاتبيُّ هذا الرأيَ
21	7570	لذلك المذهب: النص (10): موضوع	المنطق	، أعني الشيء الذي يبحث فيه
21	7687	يكون المفهوم منه أن موضوع	المنطق	هو كل العلوم، ولا شك
21	7697	شك في أنها ليست بموضوع	المنطق	(…) والحقّ أن موضوع المنطق هو
21	7701	بموضوع المنطق (…) والحقّ أن موضوع	المنطق	هو المعقولات الثانية، من حيث
21	7786	ينبغي أن يُبحَث فيها في	المنطق	(ألاحظ، دون أن أحاول أن
21	7814	2-2 محتويات الأطروحة في	المنطق	عندما تمَّ جمْعُ الأورغانون بالكامل
21	7880	العمل على تحديد بِنية أطروحات	المنطق	السينوي هو مذهب المعقولات الثانية
21	7973	عن نظرية السياق، حيث يُتَّخذُ	المنطق	ليغطِّي تطبيقات المواد المختلفة للتفكير
21	8056	في العمل على تشكيل أطروحة	المنطق	التي ظهرت في القرن الثالث
21	8112	في المقابل. 2-2-1	المنطق	كعلم رسمي يعيِّنُ مذهبُ ابن
21	8281	وإن لم تكن من علم	المنطق	؛ لأن موضوع المنطق هو المعقولات
21	8284	من علم المنطق؛ لأن موضوع	المنطق	هو المعقولات الثانية – العارضة للمعقولات
21	8352	تطبيق حجج إزالة المقولات من	المنطق	نفسها على النصوص التي تبحث
21	8358	نفسها على النصوص التي تبحث	المنطق	الشائع للجدل، على الرغم من
21	8382	أن حجة استبعاد المقولات من	المنطق	، التي تعتمد، في نُسخة الحلّي
21	8394	كون المعقولات الثانية هي موضوع	المنطق	؛ لا تزال تعمل بالنسبة لأولئك
21	8406	لا يوافقون على كوْن موضوع	المنطق	هو المعقولات الثانية، ومع ذلك
21	9035	الموضوعات التي تُعالجَ ضمن أطروحات	المنطق	، أو على الأقل؛ تُعامَل باعتبارها
21	9056	بِنية ما تبقّى في أطروحات	المنطق	السينوي. وفرضت الاهتماماتُ الصورية للمناطقة
21	9095	ثم جاء المتأخرون فغيَّروا اصطلاح	المنطق	، وألحقوا بالنظر في الكليات الخمس
21	9231	مدى مناسبة هيكل الأورغانون لأطروحات	المنطق	العربي قد ظلَّ موضع نزاع
21	9463	المخطوطات جنبًا إلى جنب أطروحات	المنطق	. ذهبت علوم اللغة الأخرى أيضًا
21	9500	المواد التي تغطيها أجزاء من	المنطق	الأرسطي. وكما الكتب المنطقية المدرسية
21	12850	الصغير، بيروت: دار المشرق. في:	المنطق	عند الفارابي، تحقيق: رفيق العجم
21	12929	ابن رشد، 1983، مقالات في	المنطق	والعلم الطبيعي، سلسلة: رسائل فلسفية
21	13213	محمد تقي دانش بروه؛ 1978،	المنطق	لابن المقفع؛ حدود المنطق لابن
21	13217	1978، المنطق لابن المقفع؛ حدود	المنطق	لابن بهريز، طهران: Anjumân-i
21	14746	1898، البصائر النصيرية في علم	المنطق	، القاهرة: المكتبة الكبرى، تحقيق: محمد
21	15093	2001)، إيساغوجي أو المدخل إلى	المنطق	، بيروت: NDU Press. الطوسي، 1971
21	15593	جيد حول العلاقة المتبادلة بين	المنطق	والعلوم الإسلامية؛ Black 1998، وهو
21	16150	المصدر، وهو كتاب: (مقالات في	المنطق	والعلم الطبيعي)، تحقيق: جمال الدين
21	16177	في الفلسفة، أو المسائل في	المنطق	والعلم الطبيعي والطب)، دار كيرانيس
21	16288	في شرح السلم المنورق في	المنطق	، وقد نقلناه من الأصل، وما
22	1201	التي تحاول الالتفاف على هذا	المنطق	لتحقيق أهداف سياسية وإيديولوجية واقتصادية
23	182	أن علم الحساب مشتق من	المنطق	وصادر عنه. • لقد أظهر راسل
23	211	المنطقية؛ لحل المتناقضات المعروفة في	المنطق	والرياضيات. • إن لغة التداول بحد
23	295	فريجه على الإتجاهات السيكولوجية في	المنطق	والرياضيات وخاصة في تصوير العدد
23	559	كبير بما هو معروف في	المنطق	بالمفهوم والماصدق. • تعتبر نظرية التعريف
23	828	أن يحقق اشتقاق الرياضيات من	المنطق	. فهو بالنسبة للمنطق الرياضياتي المعاصر
23	851	لا نجد شخصية كتبت في	المنطق	وكان لها التاثير بعد ذلك
23	984	وكانت محاولاته الجدية في بناء	المنطق	على أسس رياضياتية تستهدف بناء
23	1010	أصبح بعدئذ هدفاً من أهداف	المنطق	والفلسفة في التأريخ الحديث. ▬ لقد
23	1050	بل أن اشتقاق الرياضيات من	المنطق	أمر طبيعي إذا عرفنا القوانين
23	1075	وهذا يعني أن الرياضيات تفترض	المنطق	بالضرورة سواء كان ذلك في
23	1268	صادقة دائماً في حالة قضايا	المنطق	. ▬ لقد كانت مهمة فريجه هي
23	1307	الروح الرياضياتية أدرك فريجه أن	المنطق	ليس جزءَ من علم النفس
23	1328	الأساسية للرياضيات البحتة. ▬ تتالف لغة	المنطق	عند فريجه من : 1) الأفكار
23	1389	على ذلك تكون طبيعة هذه	المنطق	رمزية - صورية أو رياضياتية وإستنتاجية
23	1417	صادقة. وهذا يعني أن هذا	المنطق	الزامي، لأننا نشتق من البديهيات
23	1491	فريجه المهم من بناء هذا	المنطق	يتجلى في بناء لغة عامة
23	2528	حد الشكلية أو الصورية في	المنطق	المعاصر تختلف بعضها عن البعض
24	63	هذه الأداة العالمية من أدوات	المنطق	الإنساني، بعد أن بلغت مبلغها
25	45	يتبين لك أن البحث عن	المنطق	قد يرمي بك إلى جانب
25	59	النحو يرمي بك إلى جانب	المنطق	، ولولا أن الكمال غير مستطاع
25	202	منطقها الخاص الذي يختلف عن	المنطق	العقلي والفلسفي، فاللغة في نهاية
25	288	٣) د. عبد الرحمن بدوي:	المنطق	الصوري والرياضي، وكالة المطبوعات، الكويت
27	1382	المادية الديالكتيكية شكلا من أشكال	المنطق	، نمطا لتنظيم العالم وفهمه. ينطبق
27	1388	نمطا لتنظيم العالم وفهمه. ينطبق	المنطق	“الصوري” أو الأرسطي على المفاهيم
27	1549	يعملون بشكل يومي على أساس	المنطق	الديالكتيكي، سواء بوعي منهم أو
27	1922	لكن كما يقول المثل: إن	المنطق	العام ليس عاما حقا؛ إذ
28	3347	الواقع إذا ما دخلنا عالم	المنطق	الديالكتيكي فإننا سنكون قد غادرنا
29	1	دور	المنطق	في الاستدلال القانوني المقالة 4
29	52	عين شمس المستخلص ملخص يعد	المنطق	أداة مهمة في بناء الاستدلال
29	69	البحث للأسباب الآتية: 1- يقوم	المنطق	بأنماطه الاستدلالية المتعددة في صياغة
29	89	وما إلى ذلک. 2- يتميز	المنطق	بآلياته الفنية في تحديد صحة
29	129	ثم عرضنا لطبيعة العلاقة بين	المنطق	والقانون، وما تضمنته من خلاف
29	146	باعتباره حلقة الوصل الرئيسية بين	المنطق	والقانون، وما تتطلبه من تفسير
29	172	أوجه اعتماد الاستدلال القانوني على	المنطق	أو بوجه أدق توضيح الهدف
30	1	موقف	المنطق	الحدسي من مبادئ المنطق التقليدي
30	5	موقف المنطق الحدسي من مبادئ	المنطق	التقليدي نوع المستند : أوراق بحثیة
30	59	المستخلص يتناول هذا البحث موقف	المنطق	الحدسي من مبادئ المنطق التقليدي
30	63	موقف المنطق الحدسي من مبادئ	المنطق	التقليدي؛ وترجع أهمية هذا المنطق
30	68	المنطق التقليدي؛ وترجع أهمية هذا	المنطق	إلى کونه منطقًا مختلفًا عن
30	74	إلى کونه منطقًا مختلفًا عن	المنطق	التقليدي، حيث جاء معبرًا عن
30	103	التــي انطـــوت عليها. وقد تميز	المنطق	الحدسي برفضه أن يکون مبدأ
30	130	للقضايا الرياضية، حيث يرفض أنصار	المنطق	الحدسي فکرة أن يکون الصدق
30	154	ظهر الاختلاف بشکل واضح بين	المنطق	التقليدي والمنطق الحدسي وخاصة فيما
30	169	المزدوج، إذ إن النفي في	المنطق	التقليدي يستخدم لغة تعتمد على
30	198	إحدى نقاط الخلاف الرئيسة بين	المنطق	الحدسي والمنطق التقليدي إلى غياب
30	209	قاعدة النفي المزدوج عند أنصار	المنطق	الحدسي. الكلمات الرئيسية المنطق الحدسي
30	213	أنصار المنطق الحدسي. الكلمات الرئيسية	المنطق	الحدسي المنطق التقليدي مبدأ الثالث
30	215	الحدسي. الكلمات الرئيسية المنطق الحدسي	المنطق	التقليدي مبدأ الثالث المرفوع البرهان
31	5	تداخل اللهجة بلحن العامة إصلاح	المنطق	أنموذجًا نوع المستند : المقالة الأصلية
31	109	يسلط الضوء على كتاب إصلاح	المنطق	ويبين ذلك التداخل بين اللهجة
31	132	بين المصطلحين ضمن كتاب إصلاح	المنطق	من جهة، وبيان تركيز هذا
32	360	في حدود 107 دولار، فأين	المنطق	في كل هذا؟ وأين هو
33	2	بحث عن	المنطق	وأهميته وأنواعه: نُقدم إليكم بحث
33	9	وأنواعه: نُقدم إليكم بحث عن	المنطق	أو logikḗ كما يُطلق عليه
33	34	مر الزمان، فقد برز علم	المنطق	في عهد أرسطو، وتوالت الدراسات
33	87	تتناوله موسوعة، تابعونا. بحث عن	المنطق	يُعد أرسطو هو أول من
33	99	مجموعة عن الأبحاث في علم	المنطق	والتي سُميت أورغانون، فيما اعتمد
33	126	وجون ستيورت ميل ليعتمد علم	المنطق	على منطق الاستقراء. وعلى صعيدٍ
33	136	صعيدٍ أخر نجد أن هناك	المنطق	الرياضي الذي يعتمد على ربط
33	142	الرياضي الذي يعتمد على ربط	المنطق	بعلم الرياضيات وجاء هذا النوع
33	166	في شتى المجالات العلمية. تعريف	المنطق	هناك العديد من التعريفات التي
33	174	من التعريفات التي جاءت في	المنطق	والتي ربطت هذا العلم بمختلف
33	198	القدماء في العصور الأولى بتعريف	المنطق	بأنه آلة قانونية تعصم الذهن
33	216	العصور التالية أشير إلى علم	المنطق	بأنه هو العلم الذي يدرس
33	233	الإنساني الصحيح. كما يُعرف علم	المنطق	بأنه هو العلم ذات الصلة
33	267	في علم الفلسفة لفهم علم	المنطق	. فيما يُعرف أرسطو علم المنطق
33	272	المنطق. فيما يُعرف أرسطو علم	المنطق	بأنه “آلة العلم وأدا البحث
33	281	وأدا البحث والمعرفة الصحيحة”. تعريف	المنطق	الصوري يُعتبر المنطق الصوري أو
33	284	الصحيحة”. تعريف المنطق الصوري يُعتبر	المنطق	الصوري أو الشكلي كما يُطلق
33	294	يُطلق عليه نوع من علم	المنطق	الذي يعتمد على صورة القياس
33	334	الواقعي للتأكد من صحة الاستدلالات.	المنطق	الصوري هو الذي يُعرف بأنه
33	360	الصحيح الذي اعتبره أرسطو. أنواع	المنطق	تتعدد أنواع المنطق، فقد تنقسم
33	363	أرسطو. أنواع المنطق تتعدد أنواع	المنطق	، فقد تنقسم إلى المنطق الرسمي
33	367	أنواع المنطق، فقد تنقسم إلى	المنطق	الرسمي والغير رسمي، فهيا بنما
33	382	عليهم من خلال السطور التالية.	المنطق	الرسمي: هو عبارة عن مجموعة
33	411	بالذكر أن هذا النوع من	المنطق	هو الذي يُعتمد عليه الفلاسفة
33	418	الذي يُعتمد عليه الفلاسفة المعاصرين.	المنطق	الغير رسمي: هو عبارة عن
33	473	ومن ثم التخصيص والتحديد. أهمية	المنطق	يميل علم المنطق إلى مساعدة
33	476	والتحديد. أهمية المنطق يميل علم	المنطق	إلى مساعدة الأفراد في حياتهم
33	545	العديد من المعلومات حول علم	المنطق	الذي لا يتجزأ عن العلوم
34	1155	حينما ألف كتابه «التقريب لحد	المنطق	والمدخل إليه بالألفاظ العامية والأمثلة
34	1263	بتبني مشروع الغزالي في مزج	المنطق	بعلوم المسلمين بدلًا مِن مَشروع
34	1325	التالي: موقف ابن حزم من	المنطق	الأرسطي. أدلة ابن حزم لإبطال
34	1354	١) موقف ابن حزم من	المنطق	الأرسطي لو أننا استقرأنا موقف
34	1388	التخصيص. «وقد ظهر الكفاح ضد	المنطق	في صورة معارضة خطيرة كل
34	1406	على صحة العقائد الإيمانية؛ لأن	المنطق	يهددها تهديدًا جديًّا كبيرًا، وعن
34	1457	حينما أصدر فتواه الشهيرة بتحريم	المنطق	والاشتغال به، وبالفلسفة تعلمًا وتعليمًا
34	1542	ابن الصلاح على هذا بأن: «	المنطق	مدخل الفلسفة، والفلسفة شر، ومدخل
34	1601	وليس بالأحكام الشرعية افتقار إلى	المنطق	أصلًا وما يزعمه المنطقي بالمنطق
34	1649	زعم أنه يشتغل مع نفسه	المنطق	والفلسفة لفائدة يزعمها فقد خدعه
34	1707	من علم الكلام، ولا من	المنطق	، ولا ما يتعلق بغير أصول
34	1767	ولي الأمر أن يخرج معلمي	المنطق	الأرسطي من المدارس، وأن يعرضهم
34	1798	يأخذ بها كل من خاصَموا	المنطق	والفلسفة بعد ذلك، ونحن نعرف
34	1875	به، على أن الفلسفة، وحدود	المنطق	، منافية للشريعة.»٢٥ ونستنتج من
34	1926	وتقييد الآثار والسنن، فعني بعلم	المنطق	، وأوغل بعد هذا في الاستكثار
34	1940	٢٦ وليس بدعًا أن يكون	المنطق	من أوائل العلوم التي أقبل
34	1986	بعلوم الأوائل ومن بينها، وأهمها	المنطق	من حيث هو أداة ضابطة
34	2047	مجسمًا في علوم الأوائل؛ وبخاصة	المنطق	، وذلك من أجل بناء الشرع
34	2068	ابنُ حزم كتابه «التقريب لحد	المنطق	والمدخل إليه بالألفاظ العامية والأمثلة
34	2085	ابن حزم الناظرين في كتب	المنطق	إلى أربعة أضرب، الثلاثة منها
34	2141	وهراء من القول، وهذرًا من	المنطق	، والجملة فأكثر الناس سراع إلى
34	2281	للمنطق فيقول: «وكذلك هذا العلم (	المنطق	) فإن من جهله خفي عليه
34	2404	حزم من علوم الأوائل؛ وخاصة	المنطق	موقف المؤيد والمناهض للذين هاجموا
34	2419	لأنهم يحكمون بغير علم، ويرفضون	المنطق	عن جهل بمسائله وقوانينه. فكان
34	2440	دينية أصولية، إذ إن دراسة	المنطق	تساعد على فهم الكتاب، والسنة
34	2514	وثالثة تعليمية تهدف إلى تقريب	المنطق	من الأفهام، وتيسره للغير حتى
34	2533	لكل مستدل.»٢٨ ومن هذا	المنطق	يبطل ابن حزم القول بأن
34	2540	ابن حزم القول بأن تعاطي	المنطق	بدعة، فكما أن النحو وغيره
34	2571	لقواعد تقنن استعمال اللغة، كذلك	المنطق	ظهرت الحاجة إليه أيضًا كمعين
34	2588	مضامينه «فإن من جهله (أي	المنطق	) خفي عليه بناء كلام الله
34	2640	تظهر معها الحاجة إلى صناعة	المنطق	في مجال العلوم الدينية، هي
34	2722	الجهات الشرعية، وهذا مدلول امتزاج	المنطق	بالفقه، ومعنى امتزاجها، أي فهم
34	2764	موقف ابن حزم الأصولي من	المنطق	الأرسطي نذكر رأي «روبير برونشفيك
34	2788	الذين قالوا بإمكان تطبيق واقتباس	المنطق	الأرسطي جزئيًّا في الأحكام الشرعية
34	2849	أحكامه يحتاج ويستدعي اللجوء إلى	المنطق	.٣٣ ثم يربط ابن حزم
34	2857	يربط ابن حزم بين دراسة	المنطق	وفوائده للفقيه، فيجعل فائدة المنطق
34	2862	المنطق وفوائده للفقيه، فيجعل فائدة	المنطق	عامة، كما صرح بذلك الفارابي
34	3042	بعد تأليفه كتاب التقريب لحد	المنطق	، الذي تعرض لسوء فهم من
34	3073	يرى أن تأسيس الفقه على	المنطق	الأرسطي، يتطلب إسقاط لفظ «القياس
34	3837	باختصار موقف ابن حزم من	المنطق	الأرسطي، وقد بدأ فيه ابن
34	3852	الذي جعله يصرح بأن هذا	المنطق	أداؤه جيد ومثمر في الدراسات
34	3928	حزم منفردًا في محاولته تقريب	المنطق	بالاستكثار من الأمثلة التشريعية، ولكن
34	3979	ابن حزم أول مَن مَزَج	المنطق	بالفقه الإسلامي قبل الغزالي، لكن
34	4556	في أن كتاب «التقريب لحد	المنطق	» لابن حزم، قد نظر إليه
34	4579	ابن حزم مع أو ضد	المنطق	اليوناني، وذلك دون اهتمام بنوعية
34	4621	حيث قال: … وممن اعتنى بصناعة	المنطق	، خاصةً من سائر الفلسفة هو
34	4637	سعيد بن حزم، فعني بعلم	المنطق	، وألف فيه كتابًا سماه «التقريب
34	4644	فيه كتابًا سماه «التقريب لحد	المنطق	»، بسط فيه القول على تبيين
34	4763	أنواع التعاليم القديمة، ولا سيما	المنطق	فإنهم زعموا أنه زل هنالك
34	4973	لا يذكر كتاب «التقريب لحد	المنطق	» في الفصل الذي خصصه في
34	4987	الفصل الذي عقده عن «علم	المنطق	». كما لا يذكر كتاب «الإحكام
34	5095	ويُثبِتون فسادها، وأول من خلط	المنطق	بأصول المسلمين (يعني علم أصول
34	5192	ابن حزم» في سبيل مزج	المنطق	بالفقه، بقطع النظر عن قيمته
34	5218	رفض فيها إلهياتها، وقبل منها	المنطق	، بقطع النظر عن ذلك كله
34	5238	ابن حزم الذين وقفوا من	المنطق	الأرسطي موقفًا عدائيًّا، سواء أكان
34	5290	ابن حزم، حينما حاول تقريب	المنطق	إلى أذهان العامة من الناس
34	5363	حزم، إذ قال: «فعني بعلم	المنطق	، وألف فيه كتابًا سماه التقريب
34	5370	فيه كتابًا سماه التقريب لحدود	المنطق	، بسط فيه القول على تبيين
34	5439	خروج ابن حزم على قواعد	المنطق	الأرسطي فيقول: «كان أبو محمد
34	5465	من أنواع التعاليم القديمة من	المنطق	والفلسفة، وله في بعض تلك
34	5489	التسور على الفنون، لا سيما	المنطق	، فإنهم زعموا أنه زل هنالك
34	5529	كافيًا للقول إن كتابه في	المنطق	«كثير الغلط، بَيِّن السقط» أو
34	5585	ابن حزم، حينما حاول تقريب	المنطق	إلى أذهان العامة من الناس
34	5653	حزم في فهمه لمرامي وأغراض	المنطق	الأرسطي بقدر ما هي مسألة
34	5732	لها من النجاح في إدخال	المنطق	إلى حظيرة العلوم الإسلامية، فمنذ
34	5752	على اختلاف تخصصاتهم إلى «دراسة	المنطق	اليوناني، وخلطوه بأصولهم ونحوهم وتكلموا
34	5774	الأندلس من دعوة الغزالي لمزج	المنطق	بالفقه، وهل استجابوا لها أم
34	5800	من توجه الغزالي نحو مزج	المنطق	بالفقه موقفًا سلبيًّا؛ حيث يذكر
34	5893	زهد العلماء بالأندلس في صناعة	المنطق	، إذ يقول: «فإني رأيتها مرفوضة
34	5932	للمنطق إلى حد أن «أهل	المنطق	بجزيرة الأندلس كانوا يعبرون عن
34	5938	بجزيرة الأندلس كانوا يعبرون عن	المنطق	ﺑ «المفعل» تحرزًا من صولة
34	5955	أن يشتري لابنه كتابًا في	المنطق	فاشتراه خفية خوفًا منهم.»٦٨
34	5972	الإمام الغزالي، حينما كتب في	المنطق	، لم يعرض بحوثه المنطقية تحت
34	5979	يعرض بحوثه المنطقية تحت اسم	المنطق	، ولكن تحت أسماء أخرى ﮐ
34	6330	في «معيار العلم» عليهم طريق	المنطق	، فرتبه بالأمثلة الفقهية والكلامية، حتى
34	6613	يقُم كلٌّ منهما مباشرة بإدخال	المنطق	في الدراسات الفقهية والنحوية، بل
34	6676	معهم (أي الفلاسفة) لبسوها (باستعمال	المنطق	) وأخذ نعيمها ورفض بؤسها … فليس
34	6850	بين تلك الكتب كتبه في	المنطق	، ويظهر أن كتب المنطق قبلها
34	6854	في المنطق، ويظهر أن كتب	المنطق	قبلها لم تصل بلاد المغرب
34	6875	فلمَّا أردت مطالعتها (أي كتب	المنطق	) لم يكن بيدي قبلها كتاب
34	6927	هذه التهيئة النفسية والذهنية لتقبُّل	المنطق	وإدخاله في الدراسات الفقهية والنحوية
34	6939	استغرقت ما يقارب القرن، أصبح	المنطق	أحد العلوم التي تؤخذ من
34	7181	الاسم في كتابه الموضوع في	المنطق	بأنه «الصوت المخبر الموضوع غير
34	7505	أن ابن السيد يرى أن	المنطق	وثيق الصلة بالنحو، ذلك أن
34	7695	مجازات ومسامحات لا يستعملها أهل	المنطق	، وهناك خصوصيات نحوية لا مكان
34	7703	نحوية لا مكان لها في	المنطق	.»٩٤ وصناعة النحو قد تكون
34	7880	واجتهادات ليست موجودة في علم	المنطق	الذي ينبني على قواعد ثابتة
34	7932	النحو خصوصيةً وتميزًا ليست لعلم	المنطق	، فقواعد النحو خاصة مرنة، بينما
34	7939	النحو خاصة مرنة، بينما قواعد	المنطق	ثابتة عامة، وهذا هو نفس
34	7989	المعاجم. كان ممن عُنِي بعلوم	المنطق	عنايةً طويلة؛ حيث أثَّرت الفلسفة
34	8036	المصنفات فيها، كغريب المصنف، وإصلاح	المنطق	.»٩٧ ويتحدث ابن سِيدَه في
34	8130	أحد علماء اللغة مشاركة في	المنطق	.١٠٠ ولا ننسى أبا الفتوح
34	8149	اللغة مشتغلًا بعلوم الأوائل وبخاصة	المنطق	، وكانت تجري بينه وبين ابن
34	9870	الدرس النحوي الذي انغمس في	المنطق	والفلسفة آنذاك انغماسًا كبيرًا، فإن
34	10541	يرتبط بفكر أرسطو على مستوى	المنطق	والعلوم العقلية، وإلى هذا ينتمي
34	10567	صعيد ما يُسمَّى ﺑ «تأثير	المنطق	الأرسطي في النحو العربي»، بل
34	11200	٢٥ ابن حزم: التقريب لحد	المنطق	والمدخل إليه بالألفاظ العامية والأمثلة
34	11237	٢٧ ابن حزم: التقريب لحد	المنطق	، ص٣. ٢٨ نفس المصدر، ص٤
34	11436	٤٧ ابن حزم: التقريب لحد	المنطق	والمدخل إليه بالألفاظ العامية والأمثلة
34	11480	إحسان عباس: مقدمة «التقريب لحد	المنطق	والمدخل إليه»، ص ل. ٥٢
34	11541	وينظر أيضًا ناصر هاشم محمد:	المنطق	عند ابن حزم، رسالة ماجستير
34	11720	٦٥ السيوطي (جلال الدين): صون	المنطق	والكلام عن فني المنطق والكلام
34	11724	صون المنطق والكلام عن فني	المنطق	والكلام، ص١٣؛ وينظر أيضًا النجار
34	11735	د. عبد المجيد): الصلة بين	المنطق	وبين الفقه كما انتهت عند
34	11758	يوسف بن محمد): المدخل لصناعة	المنطق	، المطبعة الإبيريقية، مدريد، مجريط، ١٩١٦م
34	11805	د. عبد المجيد): الصلة بين	المنطق	وبين الفقه كما انتهت عند
35	1577	تتم إدارته بشكل صحيح. يسمح	المنطق	المحلي الخاص ببرنامج Excel للمستخدمين
35	1924	المختلفة. من خلال فهم واستخدام	المنطق	المحلي لـ Excel، يمكن للمستخدمين
35	3329	يمكننا تقدير الفروق الدقيقة في	المنطق	المحلي في Excel. 1. فهم
36	28	الكمبيوتر بأداء المهام التي تتطلب	المنطق	، مثل حل المشاكل، واتخاذ القرارات
36	87	الرئيسية لمنطق الكمبيوتر، مثل: 1.	المنطق	المنطقي: هذا هو الشكل الأبسط
36	107	أن تكون صحيحة أو خاطئة.	المنطق	البولياني هو أساس الدوائر الرقمية
36	124	والأجهزة الإلكترونية الأخرى. يسمح لنا	المنطق	البوليني أيضًا بإجراء عمليات منطقية
36	147	أجزاء من المعلومات ودمجها. 2.	المنطق	المسند: هذا شكل أكثر تعبيرًا
36	155	شكل أكثر تعبيرًا وقوة من	المنطق	، والذي يسمح لنا بالتفكير في
36	165	في الأشياء والخصائص والعلاقات. يقدم	المنطق	المسند المتغيرات، ومحددات الكمية، والمسندات
36	180	جمل معقدة وذات معنى. يستخدم	المنطق	المسند على نطاق واسع في
36	202	على المفاهيم والتعاريف والبراهين. 3.	المنطق	النموذجي: هذا نوع من المنطق
36	207	المنطق النموذجي: هذا نوع من	المنطق	الذي يتعامل مع مفاهيم الإمكانية
36	217	الإمكانية والضرورة والطرائق الأخرى. يقوم	المنطق	الشرطي بتوسيع المنطق الأصلي عن
36	220	الأخرى. يقوم المنطق الشرطي بتوسيع	المنطق	الأصلي عن طريق إضافة عوامل
36	258	المعرفة والمعتقد والالتزام والوقت. 4.	المنطق	الغامض: هذا نوع من المنطق
36	263	المنطق الغامض: هذا نوع من	المنطق	الذي يتعامل مع عدم اليقين
36	277	الطبيعية والتفكير البشري. يسمح لنا	المنطق	الغامض باستخدام درجات الحقيقة، بدلاً
36	292	قيمة الحقيقة للافتراضات. يسمح لنا	المنطق	الضبابي أيضًا باستخدام المتغيرات اللغوية
36	328	المعلومات غير الدقيقة والغامضة. 5.	المنطق	الحسابي: هذا هو فرع علوم
36	338	علوم الكمبيوتر الذي يدرس استخدام	المنطق	في الحساب والبرمجة. يشمل المنطق
36	343	المنطق في الحساب والبرمجة. يشمل	المنطق	الحسابي نماذج وتقنيات مختلفة، مثل
36	363	الآلية، والتعلم الآلي القائم على	المنطق	. يمكن استخدام المنطق الحسابي لتنفيذ
36	366	القائم على المنطق. يمكن استخدام	المنطق	الحسابي لتنفيذ الأنظمة المنطقية والتحقق
36	378	وكذلك لحل المشكلات التي تتضمن	المنطق	وتحسينها. هذه مجرد بعض الأمثلة
36	402	نغطيها في هذه المدونة، مثل	المنطق	الزمني، ومنطق الوصف، والمنطق غير
36	1084	إحدى الفرضيات تتبع أخرى باستخدام	المنطق	الاستنتاجي. يتضمن المنطق الاستنتاجي استخلاص
36	1087	أخرى باستخدام المنطق الاستنتاجي. يتضمن	المنطق	الاستنتاجي استخلاص استنتاجات من أماكن
36	1221	المنطقي، في حين يسمح لنا	المنطق	الاستنتاجي بتحديد ما إذا كانت
36	1745	أجهزة الكمبيوتر 5. كيفية استخدام	المنطق	كلغة برمجة وحل المشكلات باستخدام
36	1758	المنطقية هي نموذج للبرمجة يستخدم	المنطق	كلغة للتعبير عن المشكلات والحلول
36	1789	المنطقية، مثل Prolog، نموذجًا من	المنطق	الرمزي يسمى المنطق المسند لتمثيل
36	1792	نموذجًا من المنطق الرمزي يسمى	المنطق	المسند لتمثيل الحقائق والقواعد حول
36	2798	شبكة مملوءة بالكامل. كيفية استخدام	المنطق	كلغة برمجة وحل المشكلات باستخدام
36	2815	باستخدام أجهزة الكمبيوتر كيفية استخدام	المنطق	كلغة برمجة وحل المشكلات باستخدام
36	3089	أجهزة الكمبيوتر 7. كيفية استخدام	المنطق	لتمثيل المعرفة والاستدلال والتخطيط في
36	3099	في أنظمة الذكاء الاصطناعي. يعد	المنطق	أداة قوية للتعبير عن المعرفة
36	3112	أنظمة الذكاء الاصطناعي. يمكن استخدام	المنطق	لتمثيل الحقائق والقواعد والمفاهيم والفئات
36	3132	لبس فيها. يمكن أيضًا استخدام	المنطق	للتفكير في المعرفة، واستخلاص النتائج
36	3179	والمزيد. هناك أنواع مختلفة من	المنطق	التي يمكن استخدامها لأغراض ومجالات
36	3195	من أكثرها شيوعا هي: 1.	المنطق	الافتراضي: هذا هو أبسط أشكال
36	3201	الافتراضي: هذا هو أبسط أشكال	المنطق	، حيث الوحدات الأساسية هي القضايا
36	3219	صحيحة أو خاطئة. يمكن استخدام	المنطق	الافتراضي لتمثيل الحقائق والظروف البسيطة
36	3239	تمطر، فإن العشب مبلل". يستخدم	المنطق	المقترح رموزًا مثل $\land$ (و
36	3284	فإن R صحيح". يمكن تقييم	المنطق	الافتراضي باستخدام جداول الحقيقة، والتي
36	3351	ت | | ف | ف | ف | ت |	المنطق	المقترح سهل الاستخدام والتنفيذ، ولكن
36	3410	رطب إلى حد ما". 2.	المنطق	المسند: هذا شكل أكثر تعبيرًا
